################ TRAINING REPORT #################
# Images path   | ./dataset/kylberg/training/
# Validation    | 0.30
# Images size   | (64,64)
# Architecure   | 2l_8f_16f_5x5_fc256
# Bacth Size    | 32
# Snap/Epoch    | 5
# Max epochs    | 500
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,15.91,0.00,16.39,0.00,17.08,0.00,False
73.73,92.46,65.93,84.63,70.00,86.67,10.91,True
95.91,98.29,87.22,91.67,89.58,93.75,19.15,True
99.05,99.80,90.56,92.96,89.58,94.17,31.14,True
99.40,99.92,89.17,91.30,90.42,91.67,42.79,True
100.00,100.00,89.91,92.13,94.17,96.67,54.19,True
100.00,100.00,90.56,91.94,95.00,96.25,64.87,True
99.33,99.68,88.52,91.02,91.67,94.17,76.90,False
100.00,100.00,91.30,93.15,95.00,96.67,87.93,True
99.92,99.96,91.39,93.24,94.58,95.42,99.30,True
100.00,100.00,93.61,95.28,95.83,97.50,112.62,True
100.00,100.00,93.52,95.09,92.92,95.83,123.26,False
99.92,99.96,88.52,91.02,95.42,97.08,136.59,False
99.96,100.00,92.69,94.54,99.17,99.17,146.47,True
99.84,100.00,91.67,93.43,97.08,98.75,157.72,False
100.00,100.00,93.43,94.63,96.67,97.50,167.81,False
100.00,100.00,93.98,95.37,98.75,99.17,178.53,True
100.00,100.00,93.15,95.09,97.92,98.75,191.43,False
99.96,100.00,92.50,94.72,98.75,99.17,203.71,False
100.00,100.00,93.43,95.00,97.50,98.33,215.93,False
100.00,100.00,93.80,95.93,95.42,96.67,228.29,False
100.00,100.00,95.46,96.76,97.50,97.92,239.48,True
100.00,100.00,94.72,96.02,97.50,98.33,253.46,False
100.00,100.00,95.00,96.39,97.08,97.92,268.66,False
100.00,100.00,93.80,95.83,97.08,97.92,283.11,False
100.00,100.00,95.00,96.48,97.92,98.75,297.58,False
100.00,100.00,95.65,96.30,96.67,97.92,312.25,True
99.96,100.00,95.56,96.67,97.08,97.50,325.97,False
